Key Word	Reserved
ABORT	0
ABSOLUTE	0
ACCESS	0
ACTION	0
ADD	0
ADMIN	0
AFTER	0
AGGREGATE	0
ALL	1
ALSO	0
ALTER	0
ANALYSE	1
ANALYZE	1
AND	1
ANY	1
ARRAY	1
AS	1
ASC	1
ASSERTION	0
ASSIGNMENT	0
ASYMMETRIC	1
AT	0
AUTHORIZATION	1
BACKWARD	0
BEFORE	0
BEGIN	0
BETWEEN	1
BIGINT	0
BINARY	1
BIT	0
BOOLEAN	0
BOTH	1
BY	0
CACHE	0
CALLED	0
CASCADE	0
CASE	1
CAST	1
CHAIN	0
CHAR	0
CHARACTER	0
CHARACTERISTICS	0
CHECK	1
CHECKPOINT	0
CLASS	0
CLOSE	0
CLUSTER	0
COALESCE	0
COLLATE	1
COLUMN	1
COMMENT	0
COMMIT	0
COMMITTED	0
CONNECTION	0
CONSTRAINT	1
CONSTRAINTS	0
CONVERSION	0
CONVERT	0
COPY	0
CREATE	1
CREATEDB	0
CREATEROLE	0
CREATEUSER	0
CROSS	1
CSV	0
CURRENT_DATE	1
CURRENT_ROLE	1
CURRENT_TIME	1
CURRENT_TIMESTAMP	1
CURRENT_USER	1
CURSOR	0
CYCLE	0
DATABASE	0
DAY	0
DEALLOCATE	0
DEC	0
DECIMAL	0
DECLARE	0
DEFAULT	1
DEFAULTS	0
DEFERRABLE	1
DEFERRED	0
DEFINER	0
DELETE	0
DELIMITER	0
DELIMITERS	0
DESC	1
DISABLE	0
DISTINCT	1
DO	1
DOMAIN	0
DOUBLE	0
DROP	0
EACH	0
ELSE	1
ENABLE	0
ENCODING	0
ENCRYPTED	0
END	1
ESCAPE	0
EXCEPT	1
EXCLUDING	0
EXCLUSIVE	0
EXECUTE	0
EXISTS	0
EXPLAIN	0
EXTERNAL	0
EXTRACT	0
FALSE	1
FETCH	0
FIRST	0
FLOAT	0
FOR	1
FORCE	0
FOREIGN	1
FORWARD	0
FREEZE	1
FROM	1
FULL	1
FUNCTION	0
GLOBAL	0
GRANT	1
GRANTED	0
GREATEST	0
GROUP	1
HANDLER	0
HAVING	1
HEADER	0
HOLD	0
HOUR	0
ILIKE	1
IMMEDIATE	0
IMMUTABLE	0
IMPLICIT	0
IN	1
INCLUDING	0
INCREMENT	0
INDEX	0
INHERIT	0
INHERITS	0
INITIALLY	1
INNER	1
INOUT	0
INPUT	0
INSENSITIVE	0
INSERT	0
INSTEAD	0
INT	0
INTEGER	0
INTERSECT	1
INTERVAL	0
INTO	1
INVOKER	0
IS	1
ISNULL	1
ISOLATION	0
JOIN	1
KEY	0
LANCOMPILER	0
LANGUAGE	0
LARGE	0
LAST	0
LEADING	1
LEAST	0
LEFT	1
LEVEL	0
LIKE	1
LIMIT	1
LISTEN	0
LOAD	0
LOCAL	0
LOCALTIME	1
LOCALTIMESTAMP	1
LOCATION	0
LOCK	0
LOGIN	0
MATCH	0
MAXVALUE	0
MINUTE	0
MINVALUE	0
MODE	0
MONTH	0
MOVE	0
NAMES	0
NATIONAL	0
NATURAL	1
NCHAR	0
NEW	1
NEXT	0
NO	0
NOCREATEDB	0
NOCREATEROLE	0
NOCREATEUSER	0
NOINHERIT	0
NOLOGIN	0
NONE	0
NOSUPERUSER	0
NOT	1
NOTHING	0
NOTIFY	0
NOTNULL	1
NOWAIT	0
NULL	1
NULLIF	0
NUMERIC	0
OBJECT	0
OF	0
OFF	1
OFFSET	1
OIDS	0
OLD	1
ON	1
ONLY	1
OPERATOR	0
OPTION	0
OR	1
ORDER	1
OUT	0
OUTER	1
OVERLAPS	1
OVERLAY	0
OWNER	0
PARTIAL	0
PASSWORD	0
PLACING	1
POSITION	0
PRECISION	0
PREPARE	0
PREPARED	0
PRESERVE	0
PRIMARY	1
PRIOR	0
PRIVILEGES	0
PROCEDURAL	0
PROCEDURE	0
QUOTE	0
READ	0
REAL	0
RECHECK	0
REFERENCES	1
REINDEX	0
RELATIVE	0
RELEASE	0
RENAME	0
REPEATABLE	0
REPLACE	0
RESET	0
RESTART	0
RESTRICT	0
RETURNS	0
REVOKE	0
RIGHT	1
ROLE	0
ROLLBACK	0
ROW	0
ROWS	0
RULE	0
SAVEPOINT	0
SCHEMA	0
SCROLL	0
SECOND	0
SECURITY	0
SELECT	1
SEQUENCE	0
SERIALIZABLE	0
SESSION	0
SESSION_USER	1
SET	0
SETOF	0
SHARE	0
SHOW	0
SIMILAR	1
SIMPLE	0
SMALLINT	0
SOME	1
STABLE	0
START	0
STATEMENT	0
STATISTICS	0
STDIN	0
STDOUT	0
STORAGE	0
STRICT	0
SUBSTRING	0
SUPERUSER	0
SYMMETRIC	1
SYSID	0
SYSTEM	0
TABLE	1
TABLESPACE	0
TEMP	0
TEMPLATE	0
TEMPORARY	0
THEN	1
TIME	0
TIMESTAMP	0
TO	1
TOAST	0
TRAILING	1
TRANSACTION	0
TREAT	0
TRIGGER	0
TRIM	0
TRUE	1
TRUNCATE	0
TRUSTED	0
TYPE	0
UNCOMMITTED	0
UNENCRYPTED	0
UNION	1
UNIQUE	1
UNKNOWN	0
UNLISTEN	0
UNTIL	0
UPDATE	0
USER	1
USING	1
VACUUM	0
VALID	0
VALIDATOR	0
VALUES	0
VARCHAR	0
VARYING	0
VERBOSE	1
VIEW	0
VOLATILE	0
WHEN	1
WHERE	1
WITH	0
WITHOUT	0
WORK	0
WRITE	0
YEAR	0
ZONE	0